date,total_booked
2016-06-07 00:00:00,1241.0
2016-06-08 00:00:00,1249.0
2016-06-09 00:00:00,1276.0
2016-06-10 00:00:00,1304.0
2016-06-11 00:00:00,1304.0
2016-06-12 00:00:00,1283.0
2016-06-13 00:00:00,1263.0
2016-06-14 00:00:00,1255.0
2016-06-15 00:00:00,1255.0
2016-06-16 00:00:00,1253.0
2016-06-17 00:00:00,1251.0
2016-06-18 00:00:00,1249.0
2016-06-19 00:00:00,1233.0
2016-06-20 00:00:00,1228.0
2016-06-21 00:00:00,1217.0
2016-06-22 00:00:00,1221.0
2016-06-23 00:00:00,1229.0
2016-06-24 00:00:00,1224.0
2016-06-25 00:00:00,1220.0
2016-06-26 00:00:00,1211.0
2016-06-27 00:00:00,1207.0
2016-06-28 00:00:00,1202.0
2016-06-29 00:00:00,1204.0
2016-06-30 00:00:00,1208.0
2016-07-01 00:00:00,1468.0
2016-07-02 00:00:00,1459.0
2016-07-03 00:00:00,1454.0
2016-07-04 00:00:00,1447.0
2016-07-05 00:00:00,1431.0
2016-07-06 00:00:00,1428.0
2016-07-07 00:00:00,1425.0
2016-07-08 00:00:00,1430.0
2016-07-09 00:00:00,1426.0
2016-07-10 00:00:00,1415.0
2016-07-11 00:00:00,1418.0
2016-07-12 00:00:00,1425.0
2016-07-13 00:00:00,1423.0
2016-07-14 00:00:00,1430.0
2016-07-15 00:00:00,1426.0
2016-07-16 00:00:00,1426.0
2016-07-17 00:00:00,1417.0
2016-07-18 00:00:00,1412.0
2016-07-19 00:00:00,1405.0
2016-07-20 00:00:00,1408.0
2016-07-21 00:00:00,1408.0
2016-07-22 00:00:00,1414.0
2016-07-23 00:00:00,1422.0
2016-07-24 00:00:00,1417.0
2016-07-25 00:00:00,1424.0
2016-07-26 00:00:00,1415.0
2016-07-27 00:00:00,1409.0
2016-07-28 00:00:00,1411.0
2016-07-29 00:00:00,1412.0
2016-07-30 00:00:00,1421.0
2016-07-31 00:00:00,1410.0
2016-08-01 00:00:00,1415.0
2016-08-02 00:00:00,1414.0
2016-08-03 00:00:00,1405.0
2016-08-04 00:00:00,1403.0
2016-08-05 00:00:00,1399.0
2016-08-06 00:00:00,1393.0
2016-08-07 00:00:00,1389.0
2016-08-08 00:00:00,1375.0
2016-08-09 00:00:00,1380.0
2016-08-10 00:00:00,1374.0
2016-08-11 00:00:00,1377.0
2016-08-12 00:00:00,1365.0
2016-08-13 00:00:00,1361.0
2016-08-14 00:00:00,1365.0
2016-08-15 00:00:00,1354.0
2016-08-16 00:00:00,1358.0
2016-08-17 00:00:00,1349.0
2016-08-18 00:00:00,1352.0
2016-08-19 00:00:00,1350.0
2016-08-20 00:00:00,1347.0
2016-08-21 00:00:00,1338.0
2016-08-22 00:00:00,1330.0
2016-08-23 00:00:00,1325.0
2016-08-24 00:00:00,1324.0
2016-08-25 00:00:00,1326.0
2016-08-26 00:00:00,1317.0
2016-08-27 00:00:00,1312.0
2016-08-28 00:00:00,1311.0
2016-08-29 00:00:00,1308.0
2016-08-30 00:00:00,1303.0
2016-08-31 00:00:00,1292.0
2016-09-01 00:00:00,1299.0
2016-09-02 00:00:00,1301.0
2016-09-03 00:00:00,1296.0
2016-09-04 00:00:00,1282.0
2016-09-05 00:00:00,1274.0
2016-09-06 00:00:00,1262.0
2016-09-07 00:00:00,1259.0
2016-09-08 00:00:00,1257.0
2016-09-09 00:00:00,1250.0
2016-09-10 00:00:00,1249.0
2016-09-11 00:00:00,1249.0
2016-09-12 00:00:00,1246.0
2016-09-13 00:00:00,1248.0
2016-09-14 00:00:00,1247.0
2016-09-15 00:00:00,1247.0
2016-09-16 00:00:00,1243.0
2016-09-17 00:00:00,1240.0
2016-09-18 00:00:00,1240.0
2016-09-19 00:00:00,1238.0
2016-09-20 00:00:00,1237.0
2016-09-21 00:00:00,1234.0
2016-09-22 00:00:00,1222.0
2016-09-23 00:00:00,1217.0
2016-09-24 00:00:00,1215.0
2016-09-25 00:00:00,1211.0
2016-09-26 00:00:00,1211.0
2016-09-27 00:00:00,1209.0
2016-09-28 00:00:00,1207.0
2016-09-29 00:00:00,1205.0
2016-09-30 00:00:00,1199.0
2016-10-01 00:00:00,1196.0
2016-10-02 00:00:00,1175.0
2016-10-03 00:00:00,1171.0
2016-10-04 00:00:00,1171.0
2016-10-05 00:00:00,1171.0
2016-10-06 00:00:00,1169.0
2016-10-07 00:00:00,1165.0
2016-10-08 00:00:00,1165.0
2016-10-09 00:00:00,1166.0
2016-10-10 00:00:00,1168.0
2016-10-11 00:00:00,1168.0
2016-10-12 00:00:00,1165.0
2016-10-13 00:00:00,1165.0
2016-10-14 00:00:00,1160.0
2016-10-15 00:00:00,1160.0
2016-10-16 00:00:00,1161.0
2016-10-17 00:00:00,1160.0
2016-10-18 00:00:00,1158.0
2016-10-19 00:00:00,1158.0
2016-10-20 00:00:00,1155.0
2016-10-21 00:00:00,1151.0
2016-10-22 00:00:00,1150.0
2016-10-23 00:00:00,1151.0
2016-10-24 00:00:00,1148.0
2016-10-25 00:00:00,1150.0
2016-10-26 00:00:00,1148.0
2016-10-27 00:00:00,1146.0
2016-10-28 00:00:00,1141.0
2016-10-29 00:00:00,1137.0
2016-10-30 00:00:00,1136.0
2016-10-31 00:00:00,1135.0
2016-11-01 00:00:00,1131.0
2016-11-02 00:00:00,1128.0
2016-11-03 00:00:00,1124.0
2016-11-04 00:00:00,1121.0
2016-11-05 00:00:00,1120.0
2016-11-06 00:00:00,1108.0
2016-11-07 00:00:00,1108.0
2016-11-08 00:00:00,1107.0
2016-11-09 00:00:00,1106.0
2016-11-10 00:00:00,1106.0
2016-11-11 00:00:00,1100.0
2016-11-12 00:00:00,1096.0
2016-11-13 00:00:00,1096.0
2016-11-14 00:00:00,1094.0
2016-11-15 00:00:00,1093.0
2016-11-16 00:00:00,1091.0
2016-11-17 00:00:00,1091.0
2016-11-18 00:00:00,1086.0
2016-11-19 00:00:00,1085.0
2016-11-20 00:00:00,1084.0
2016-11-21 00:00:00,1081.0
2016-11-22 00:00:00,1074.0
2016-11-23 00:00:00,1072.0
2016-11-24 00:00:00,1072.0
2016-11-25 00:00:00,1069.0
2016-11-26 00:00:00,1069.0
